category_english,cnt_ontime,cnt_late,low_rate_ontime,low_rate_late,score_ontime,score_late,total_orders,low_rate_abs_diff,low_rate_rel_risk
bed_bath_table,8346.0,808.0,12.341241313203929,57.17821782178218,4.135274382937935,2.474009900990099,9154.0,44.836976508578246,4.633101028549457
health_beauty,7840.0,774.0,7.525510204081633,52.84237726098191,4.37984693877551,2.6291989664082687,8614.0,45.31686705690028,7.021766741120308
sports_leisure,6911.0,583.0,7.784691072203734,56.77530017152659,4.3688322963391695,2.457975986277873,7494.0,48.99060909932285,7.293198875193684
computers_accessories,5998.0,503.0,11.453817939313105,54.27435387673957,4.202567522507502,2.5347912524850895,6501.0,42.82053593742646,4.738538203095835
furniture_decor,5678.0,532.0,11.606199365973936,54.3233082706767,4.201303275801338,2.5657894736842106,6210.0,42.71710890470276,4.680542403048593
housewares,5289.0,399.0,9.018718094157686,50.6265664160401,4.304027226318775,2.6867167919799497,5688.0,41.607848321882415,5.613499156696773
watches_gifts,5004.0,468.0,9.872102318145485,57.47863247863248,4.2693844924060755,2.3995726495726495,5472.0,47.60653016048699,5.8223294923699775
telephony,3727.0,348.0,11.08129863160719,47.98850574712644,4.174939629729004,2.704022988505747,4075.0,36.90720711551925,4.33058501015836
auto,3461.0,328.0,9.274776076278531,53.35365853658537,4.292112106327651,2.567073170731707,3789.0,44.07888246030684,5.752554897044298
toys,3495.0,285.0,7.839771101573676,60.0,4.374535050071531,2.364912280701754,3780.0,52.160228898426325,7.653284671532847
cool_stuff,3281.0,243.0,7.893934775982932,56.37860082304527,4.3468454739408715,2.460905349794239,3524.0,48.48466604706233,7.14201503090392
garden_tools,3138.0,274.0,8.189929891650733,55.47445255474452,4.327597195666029,2.591240875912409,3412.0,47.28452266309379,6.7734954131046035
perfumery,2846.0,228.0,8.011243851018975,57.01754385964912,4.403021784961349,2.543859649122807,3074.0,49.00630000863015,7.117189904586026
baby,2508.0,256.0,9.449760765550238,60.9375,4.285087719298246,2.3125,2764.0,51.48773923444976,6.44857594936709
electronics,2259.0,247.0,9.428950863213812,49.797570850202426,4.263833554670208,2.736842105263158,2506.0,40.36861998698861,5.281348007070764
stationery,2077.0,175.0,6.40346653827636,53.714285714285715,4.436687530091478,2.565714285714286,2252.0,47.31081917600935,8.388313641245972
fashion_bags_accessories,1691.0,121.0,7.273802483737433,55.371900826446286,4.356002365464223,2.4628099173553717,1812.0,48.09809834270885,7.612510918497616
pet_shop,1575.0,106.0,7.936507936507936,50.943396226415096,4.3822222222222225,2.6320754716981134,1681.0,43.00688828990716,6.4188679245283025
uncategorized,1234.0,121.0,12.72285251215559,60.33057851239669,4.186385737439222,2.3801652892561984,1355.0,47.6077260002411,4.741906616834237
office_furniture,1130.0,115.0,18.495575221238937,55.65217391304348,3.7575221238938052,2.5391304347826087,1245.0,37.15659869180454,3.0089452881214895
consoles_games,931.0,83.0,8.055853920515576,50.602409638554214,4.2986036519871105,2.6144578313253013,1014.0,42.54655571803864,6.281445783132529
luggage_accessories,957.0,56.0,5.6426332288401255,50.0,4.454545454545454,2.9464285714285716,1013.0,44.357366771159874,8.86111111111111
home_appliances,697.0,50.0,8.895265423242469,46.0,4.2926829268292686,2.9,747.0,37.10473457675753,5.171290322580645
construction_tools_construction,661.0,67.0,9.379727685325264,53.73134328358209,4.278366111951589,2.5522388059701493,728.0,44.35161559825683,5.728454501685124
musical_instruments,553.0,54.0,7.05244122965642,61.111111111111114,4.421338155515371,2.185185185185185,607.0,54.05866988145469,8.665242165242166
