seller_state,seller_count,order_count,total_gmv,total_freight,avg_freight_rs,avg_dispatch_days,late_delivery_rate_pct,avg_review_score,low_rating_rate_pct
SP,1845,69997,8761340.77,1484002.53,21.200944754775204,2.804879558445158,8.574653199422833,4.0617740760318295,15.15636384416475
MG,242,7840,1009923.41,211920.03,27.03061607142857,2.798430868336103,5.497448979591836,4.169260204081633,12.474489795918368
PR,348,7576,1255843.52,196634.35,25.954903643083423,3.0678974584315992,6.4017951425554385,4.13318373812038,13.872756071805703
RJ,170,4301,842875.36,93482.81999999999,21.735136014880258,2.463848694291218,8.230644036270634,4.150197628458498,14.205998604975587
SC,190,3618,633498.6,106581.1,29.458568269762303,2.651344241422214,5.942509673852958,4.146766169154229,13.432835820895523
RS,127,1974,379258.75,57175.72,28.96439716312057,3.031304253102207,4.25531914893617,4.279635258358662,10.030395136778116
DF,30,817,97295.81,18375.87,22.49188494492044,2.5239013797213055,5.87515299877601,4.062423500611995,15.177478580171359
BA,19,566,285209.58,19644.21,34.70708480565371,2.8964908539653784,5.6537102473498235,4.1219081272084805,12.897526501766784
GO,40,461,66358.87,12543.62,27.20958785249458,2.169821388685835,3.9045553145336225,4.301518438177874,10.195227765726681
PE,9,405,91674.86,12442.83,30.723037037037038,1.706654433672534,4.444444444444445,4.224691358024692,11.851851851851853
MA,1,392,36483.95,12147.93,30.989617346938775,4.449839675453515,22.95918367346939,3.9693877551020407,17.346938775510203
ES,23,315,47472.67,12110.44,38.445841269841274,2.094120481303988,6.984126984126984,4.063492063492063,14.285714285714285
MT,4,136,17056.72,4626.62,34.01926470588235,2.93846898828976,4.411764705882353,4.1911764705882355,8.088235294117647
CE,13,90,20500.34,4397.51,48.861222222222224,2.9959931595921763,8.88888888888889,4.155555555555556,15.555555555555555
RN,5,50,10070.6,1286.47,25.729400000000002,3.8702969907407407,10.0,4.28,12.0
MS,5,49,9102.99,1310.43,26.743469387755102,3.6894111394557823,8.16326530612245,4.387755102040816,10.204081632653061
PB,6,35,16590.39,1554.04,44.40114285714286,2.7771795634920635,5.714285714285714,3.942857142857143,22.857142857142858
RO,2,13,4612.21,697.49,53.653076923076924,2.311274928774929,0.0,3.769230769230769,30.76923076923077
PI,1,11,2227.0,404.04,36.730909090909094,1.5886700336700337,0.0,4.0,18.181818181818183
PA,1,8,1238.0,155.10999999999999,19.388749999999998,3.0522366898148148,12.5,4.5,0.0
SE,2,8,1565.3,301.74,37.7175,1.506646412037037,0.0,4.125,12.5
AM,1,3,1177.0,81.8,27.266666666666666,3.4279012345679014,66.66666666666666,2.3333333333333335,66.66666666666666
AC,1,1,267.0,32.84,32.84,,0.0,1.0,100.0
