category_english,2017_H2,2018_H1,total_period_gmv,gmv_growth_pct
small_appliances_home_oven_and_coffee,750.05,38927.37,39677.420000000006,5089.970001999867
art,1553.94,11502.07,13056.01,640.1875233277989
construction_tools_lights,4624.48,22384.38,27008.86,384.0410165034772
construction_tools_construction,18512.68,86792.57,105305.25,368.82768999410143
home_appliances_2,16356.5,66772.78,83129.28,308.2339131232232
construction_tools_safety,7359.9,26304.73,33664.63,257.40607888694143
drinks,4180.78,14461.84,18642.62,245.91248523002892
signaling_and_security,3457.18,11379.56,14836.74,229.15729004564415
industry_commerce_and_business,7582.8,24061.23,31644.03,217.31326159202405
home_construction,17457.5,46010.66,63468.16,163.55812687956467
audio,11577.62,30254.9,41832.520000000004,161.32227521718625
home_appliances,17877.25,44445.67,62322.92,148.61581059726748
electronics,36300.1,81817.94,118118.04000000001,125.39315318690582
costruction_tools_garden,4969.42,11061.43,16030.85,122.58996019656219
food,4309.19,8931.0,13240.189999999999,107.25472768664181
housewares,141850.17,276325.01,418175.18000000005,94.80061955512636
books_technical,5045.32,9594.16,14639.48,90.1595934450144
books_general_interest,11301.800000000001,21464.66,32766.46,89.92249022279634
auto,144395.04,258444.72,402839.76,78.98448589369828
baby,119333.19,211167.57,330500.76,76.95627679105871
health_beauty,318120.52,547248.22,865368.74,72.02543866079432
small_appliances,43108.34,73297.16,116405.5,70.03011482232907
computers_accessories,257390.26,423752.77,681143.03,64.63434552651681
pet_shop,52472.26,84122.31,136594.57,60.317680237138624
office_furniture,78722.87,122487.88,201210.75,55.593768367438855
musical_instruments,58752.67,89433.92,148186.59,52.22103097612415
watches_gifts,355168.77,538592.44,893761.21,51.64408740104033
furniture_bedroom,4786.49,7114.17,11900.66,48.63020710374409
stationery,71390.56,103832.33,175222.89,45.442660766353434
kitchen_dining_laundry_garden_furniture,15500.08,21595.41,37095.49,39.324506712223425
sports_leisure,305585.73,425750.99,731336.72,39.3229291171417
furniture_decor,217746.7,299979.63,517726.33,37.76540815543932
luggage_accessories,39851.79,51877.16,91728.95000000001,30.175231777543747
air_conditioning,14856.71,18883.1,33739.81,27.10149151460855
furniture_living_room,18159.91,21970.89,40130.8,20.985676691128972
agro_industry_and_commerce,25836.46,30573.49,56409.95,18.3346712359201
bed_bath_table,359707.83,418894.14,778601.97,16.453995455144803
telephony,101608.67,115209.11,216817.78,13.38511762824964
perfumery,117752.86,130558.92,248311.78,10.875370670402399
uncategorized,62249.18,65764.83,128014.01000000001,5.647704917558756
garden_tools,167839.63,172271.53,340111.16000000003,2.6405563453637226
fashion_bags_accessories,55168.61,56477.6,111646.20999999999,2.3727079583843023
market_place,7585.96,7467.32,15053.279999999999,-1.563941808287947
consoles_games,55841.62,51579.0,107420.62,-7.633410348768539
food_drink,6793.95,5961.4,12755.349999999999,-12.254285062445266
fashion_shoes,8831.92,7205.18,16037.1,-18.418871547749525
cool_stuff,255559.49,194873.91,450433.4,-23.746165716639982
fixed_telephony,23013.3,16461.72,39475.020000000004,-28.46866811800132
home_confort,23397.7,15978.43,39376.130000000005,-31.709398787060266
toys,230600.03,135625.97,366226.0,-41.185623436388966
computers,153481.8,43781.840000000004,197263.63999999998,-71.47424645788621
