category_english,orders,gmv,freight,avg_price,avg_freight,avg_review_score,low_rating_count,delivered_orders,late_count,avg_lead_time_days,revenue,freight_ratio_pct,low_rating_rate_pct,late_rate_pct,price_diff_vs_baseline,freight_diff_vs_baseline,review_diff_vs_baseline,low_rating_diff_vs_baseline,late_rate_diff_vs_baseline,priority_segment
electronics,2539,160861.7,46881.59,63.35632138637259,18.464588420638044,4.084285151634502,362,2506,247,12.941406753421418,207743.29,29.144034907003963,14.257581725088617,9.85634477254589,-74.3936786136274,-4.355411579361956,0.014285151634501503,-0.7824182749113824,1.746344772545891,High Delivery Problems
home_confort,373,57993.91,8620.36,155.47965147453084,23.11088471849866,3.9195710455764075,68,368,39,13.615084949929548,66614.27,14.864250401464568,18.230563002680967,10.597826086956522,17.72965147453084,0.2908847184986598,-0.15042895442359283,3.1905630026809675,2.487826086956522,High Delivery Problems
audio,348,51922.5,5747.95,149.20258620689654,16.517097701149424,3.824712643678161,77,346,45,13.516235381877543,57670.45,11.0702489286918,22.126436781609197,13.005780346820808,11.452586206896541,-6.302902298850576,-0.2452873563218394,7.086436781609198,4.895780346820809,High Delivery Problems
food,445,29269.65,7251.46,65.77449438202248,16.29541573033708,4.249438202247191,55,436,44,9.846985696992865,36521.11,24.774672741218293,12.359550561797752,10.091743119266056,-71.97550561797752,-6.52458426966292,0.17943820224719076,-2.6804494382022472,1.9817431192660564,High Delivery Problems
fashion_shoes,238,23493.97,4888.72,98.71415966386554,20.540840336134455,4.180672268907563,32,233,15,15.739348225639803,28382.690000000002,20.80840317749618,13.445378151260504,6.437768240343347,-39.035840336134456,-2.2791596638655456,0.11067226890756299,-1.5946218487394948,-1.6722317596566523,High Delivery Problems
books_technical,259,19213.98,4336.16,74.18525096525096,16.7419305019305,4.382239382239383,27,255,28,10.615925517429195,23550.14,22.5677345349584,10.424710424710424,10.980392156862745,-63.56474903474904,-6.0780694980695,0.3122393822393823,-4.615289575289575,2.8703921568627457,High Delivery Problems
fashion_underwear_beach,121,9541.55,1916.19,78.85578512396694,15.836280991735538,3.909090909090909,23,117,15,14.00258270022159,11457.74,20.08258616262557,19.00826446280992,12.82051282051282,-58.89421487603306,-6.983719008264462,-0.1609090909090911,3.9682644628099197,4.71051282051282,High Delivery Problems
christmas_supplies,128,8816.82,3234.59,68.88140625,25.270234375,4.0390625,17,125,12,15.374882037037038,12051.41,36.68658314448974,13.28125,9.6,-68.86859375,2.450234375000001,-0.030937500000000284,-1.7587499999999991,1.4900000000000002,High Delivery Problems
health_beauty,8803,1259968.04,182651.86,143.12939225264114,20.74881972054981,4.169033284107691,1141,8614,775,12.091885805693112,1442619.9,14.496547071146344,12.96149040099966,8.996981657766428,5.379392252641139,-2.0711802794501892,0.09903328410769063,-2.0785095990003395,0.8869816577664285,High-Volume / High-Satisfaction
sports_leisure,7685,987819.48,168516.26,128.5386441119063,21.927945348080677,4.157839947950553,1021,7495,583,12.257112205976824,1156335.74,17.05941858931553,13.28562134027326,7.778519012675117,-9.211355888093692,-0.8920546519193238,0.0878399479505525,-1.75437865972674,-0.3314809873248823,High-Volume / High-Satisfaction
housewares,5829,635149.98,146490.01,108.96379825012866,25.131242065534398,4.135014582261109,782,5688,399,11.111738892714357,781639.99,23.063845487328837,13.415680219591696,7.014767932489452,-28.78620174987134,2.3112420655343975,0.06501458226110834,-1.6243197804083032,-1.0952320675105476,High-Volume / High-Satisfaction
cool_stuff,3597,634415.95,83927.04,176.3736308034473,23.33251042535446,4.1659716430358635,452,3524,243,12.411484933340692,718342.99,13.229024270275676,12.566027244926328,6.895573212258797,38.6236308034473,0.5125104253544599,0.09597164303586325,-2.473972755073671,-1.2144267877412025,High-Volume / High-Satisfaction
garden_tools,3480,486417.93,98993.1,139.7752672413793,28.446293103448276,4.1419540229885055,460,3412,274,13.664890056472798,585411.03,20.35144962686717,13.218390804597702,8.030480656506448,2.0252672413793107,5.626293103448276,0.07195402298850517,-1.8216091954022975,-0.07951934349355128,High-Volume / High-Satisfaction
toys,3863,483475.83,77641.28,125.15553455863319,20.098700491845715,4.172663732850117,506,3781,285,11.752449157948613,561117.11,16.058978584306892,13.098628009319183,7.537688442211055,-12.594465441366808,-2.721299508154285,0.10266373285011632,-1.9413719906808158,-0.5723115577889448,High-Volume / High-Satisfaction
perfumery,3149,399511.48,54242.55,126.86931724356938,17.22532550015878,4.204826929183868,418,3074,228,11.924081944444444,453754.02999999997,13.57721935800193,13.27405525563671,7.41704619388419,-10.880682756430616,-5.594674499841219,0.13482692918386796,-1.7659447443632885,-0.6929538061158098,High-Volume / High-Satisfaction
stationery,2299,232080.79,47029.46,100.94858199217052,20.456485428447152,4.2370595911265765,267,2252,175,12.785560052587002,279110.25,20.26426228556013,11.613745106568073,7.770870337477797,-36.80141800782948,-2.363514571552848,0.1670595911265762,-3.426254893431926,-0.3391296625222022,High-Volume / High-Satisfaction
