dimension,segment,order_count,order_share_pct,total_payment_value,value_share_pct,avg_payment_value,median_payment_value,avg_review_score,low_rating_count,low_rating_rate_pct,late_rate_pct
Payment Type,credit_card,74975,75.39722445695897,12542527.15,78.34735049404593,167.28945848616206,109.56,4.072624208069357,11317,15.094364788262753,7.957541469845106
Payment Type,boleto,19784,19.89541432019308,2869361.27,17.923569183960726,145.03443540234534,93.89,4.071421350586332,2938,14.850384148807116,8.879162107237768
Payment Type,voucher,3151,3.1687449718423166,379043.91,2.3677115237022703,120.29321167883211,82.78,3.9834973024436686,549,17.423040304665186,7.020490426603963
Payment Type,debit_card,1527,1.5355993563958166,217939.79,1.3613687982910816,142.72415848068107,89.3,4.159790438768828,203,13.294040602488538,7.956844234659474
Payment Type,not_defined,3,0.0030168946098149637,0.0,0.0,0.0,0.0,1.6666666666666667,2,66.66666666666666,
Credit Card Installment Tier,1. 1 Installment (Single Pay),24004,32.0160053351117,2422262.18,19.312393356070988,100.91077237127146,71.625,4.141476420596567,3210,13.3727712047992,7.253264825519161
Credit Card Installment Tier,2. 2 - 3 Installments,22651,30.21140380126709,3070871.22,24.48367209633666,135.57331773431636,111.38,4.068959427839831,3398,15.001545185643018,8.095713766799854
Credit Card Installment Tier,3. 4 - 6 Installments,16160,21.553851283761254,2950182.46,23.521435710027543,182.5607957920792,128.28,4.046163366336634,2528,15.643564356435643,8.238817382439148
Credit Card Installment Tier,4. 7 - 10 Installments,11819,15.763921307102368,3976325.46,31.702745486981065,336.43501649885775,206.78,3.9825704374312547,2107,17.827227345799137,8.693748905620732
Credit Card Installment Tier,5. 11+ Installments,341,0.45481827275758585,122885.83,0.9797533505837378,360.3690029325513,216.05,3.844574780058651,74,21.700879765395893,9.72644376899696
